OrderID,OrderDate,CustomerID,Product,Category,Quantity,UnitPrice,Revenue,Profit
1,2022-10-21,1045,Smartphone,Electronics,1,127.77,127.77,32.19
2,2022-02-03,1811,Sneakers,Clothing,1,177.34,177.34,20.01
3,2022-02-23,2997,Cookware Set,Home & Kitchen,4,152.72,610.88,103.78
4,2023-02-17,1806,Sneakers,Clothing,4,188.24,752.96,102.11
5,2023-10-28,1232,Makeup Kit,Beauty,5,63.98,319.9,40.03
6,2023-10-19,3631,Treadmill,Sports,3,133.63,400.89,111.33
7,2022-10-20,4290,Sneakers,Clothing,5,112.41,562.05,95.58
8,2023-12-28,2311,Dumbbells,Sports,5,93.61,468.05,112.1
9,2022-05-01,1717,Blender,Home & Kitchen,5,198.27,991.35,156.22
10,2023-08-06,4563,Cycling Helmet,Sports,4,129.49,517.96,132.97
11,2022-11-22,654,Microwave,Home & Kitchen,5,21.67,108.35,32.33
12,2022-08-13,4773,Jeans,Clothing,2,56.66,113.32,12.97
13,2022-08-13,1620,T-Shirt,Clothing,3,98.78,296.34,82.75
14,2023-06-18,1731,Dress,Clothing,2,99.47,198.94,47.63
15,2022-08-06,4412,Yoga Mat,Sports,4,146.49,585.96,126.35
16,2022-01-01,2276,Smartphone,Electronics,4,45.53,182.12,19.07
17,2022-01-27,3816,Blender,Home & Kitchen,4,79.22,316.88,85.04
18,2023-12-30,1077,Hair Dryer,Beauty,5,18.65,93.25,20.0
19,2023-01-02,4206,Cookware Set,Home & Kitchen,1,138.58,138.58,17.59
20,2023-09-08,441,Shampoo,Beauty,1,77.56,77.56,23.09
21,2022-02-24,1453,Blender,Home & Kitchen,5,146.09,730.45,160.24
22,2023-07-12,2353,Yoga Mat,Sports,5,187.99,939.95,141.37
23,2022-05-09,1102,Dress,Clothing,1,162.77,162.77,28.0
24,2023-12-03,3192,Vacuum Cleaner,Home & Kitchen,1,105.92,105.92,21.85
25,2022-10-22,4296,Jeans,Clothing,3,65.71,197.13,32.26
26,2022-02-26,2111,Microwave,Home & Kitchen,5,52.45,262.25,66.92
27,2023-06-10,2959,Treadmill,Sports,5,188.81,944.05,281.4
28,2022-11-28,2635,Yoga Mat,Sports,1,82.2,82.2,23.05
29,2022-08-29,3003,Jeans,Clothing,2,111.6,223.2,24.48
30,2024-01-12,2405,Tennis Racket,Sports,5,71.34,356.7,105.75
31,2023-01-30,2695,Sneakers,Clothing,2,42.06,84.12,24.2
32,2023-11-10,4224,Shampoo,Beauty,1,79.07,79.07,14.52
33,2022-03-28,3586,Perfume,Beauty,5,90.12,450.6,68.09
34,2022-04-18,1848,Vacuum Cleaner,Home & Kitchen,4,37.51,150.04,25.07
35,2023-05-12,4798,Tablet,Electronics,1,81.28,81.28,22.8
36,2022-06-20,4004,Yoga Mat,Sports,5,151.88,759.4,131.39
37,2022-05-12,2120,Cycling Helmet,Sports,1,57.18,57.18,16.54
38,2023-05-17,2609,Jeans,Clothing,2,13.48,26.96,3.64
39,2022-10-31,2329,Tablet,Electronics,1,20.65,20.65,2.33
40,2023-01-18,3187,Microwave,Home & Kitchen,4,173.77,695.08,104.29
41,2022-04-04,1968,Blender,Home & Kitchen,5,57.83,289.15,69.25
42,2022-07-20,4615,Tennis Racket,Sports,5,42.65,213.25,40.14
43,2023-11-23,3208,Laptop,Electronics,5,122.43,612.15,62.78
44,2022-04-27,2589,Shampoo,Beauty,3,166.56,499.68,113.39
45,2022-09-12,4387,Sneakers,Clothing,2,165.99,331.98,66.17
46,2023-09-04,4773,Smartphone,Electronics,4,75.16,300.64,80.43
47,2022-10-30,2500,Vacuum Cleaner,Home & Kitchen,2,158.25,316.5,59.3
48,2023-08-23,3898,Perfume,Beauty,1,150.4,150.4,37.85
49,2024-01-27,3473,Shampoo,Beauty,2,125.57,251.14,71.6
50,2023-01-19,1595,Blender,Home & Kitchen,4,60.75,243.0,24.87
51,2022-04-27,2132,Air Fryer,Home & Kitchen,3,25.66,76.98,13.1
52,2022-10-11,2847,Microwave,Home & Kitchen,1,16.79,16.79,2.38
53,2022-03-14,3390,Vacuum Cleaner,Home & Kitchen,3,136.56,409.68,64.83
54,2022-06-29,2172,Laptop,Electronics,1,28.84,28.84,3.51
55,2023-05-10,1343,T-Shirt,Clothing,3,109.72,329.16,70.55
56,2022-03-31,2040,Laptop,Electronics,4,165.86,663.44,167.26
57,2022-04-12,3301,Dumbbells,Sports,3,183.83,551.49,157.29
58,2023-07-14,2582,Jacket,Clothing,3,17.09,51.27,7.82
59,2022-05-24,712,Treadmill,Sports,5,167.91,839.55,201.04
60,2022-05-10,1425,Smartwatch,Electronics,1,41.66,41.66,10.1
61,2022-03-08,4857,Laptop,Electronics,3,106.58,319.74,86.24
62,2023-04-02,4801,Microwave,Home & Kitchen,1,180.54,180.54,43.57
63,2023-03-20,4731,Smartphone,Electronics,2,164.69,329.38,51.14
64,2022-12-19,3426,Tablet,Electronics,1,81.62,81.62,8.64
65,2023-12-07,3579,Dumbbells,Sports,3,81.93,245.79,54.37
66,2022-03-13,4680,Blender,Home & Kitchen,3,177.12,531.36,101.16
67,2022-04-16,2428,Vacuum Cleaner,Home & Kitchen,2,156.86,313.72,66.92
68,2022-03-22,224,Laptop,Electronics,5,174.64,873.2,185.92
69,2022-09-20,2080,Dress,Clothing,2,102.8,205.6,41.44
70,2023-06-27,4768,Air Fryer,Home & Kitchen,2,71.38,142.76,21.63
71,2022-01-20,480,Jeans,Clothing,1,158.67,158.67,46.13
72,2023-10-28,3900,Blender,Home & Kitchen,2,117.48,234.96,32.79
73,2022-09-30,3894,Dress,Clothing,5,153.62,768.1,172.75
74,2022-11-25,1590,Tennis Racket,Sports,3,51.86,155.58,34.05
75,2023-09-19,4166,Dumbbells,Sports,2,40.95,81.9,16.3
76,2022-06-02,4778,Tennis Racket,Sports,3,92.46,277.38,44.35
77,2023-12-21,1485,Sneakers,Clothing,2,159.59,319.18,67.41
78,2022-02-20,2253,Cookware Set,Home & Kitchen,2,128.03,256.06,41.17
79,2023-08-21,3056,T-Shirt,Clothing,1,71.86,71.86,13.72
80,2023-09-28,830,Cycling Helmet,Sports,3,21.84,65.52,13.12
81,2023-11-14,57,Air Fryer,Home & Kitchen,4,43.13,172.52,19.91
82,2023-12-02,2899,Perfume,Beauty,3,20.25,60.75,12.83
83,2022-08-12,2277,Cookware Set,Home & Kitchen,1,181.54,181.54,47.95
84,2022-04-22,614,Yoga Mat,Sports,1,22.66,22.66,4.83
85,2023-06-16,1833,Microwave,Home & Kitchen,2,72.78,145.56,16.35
86,2022-03-15,1140,Air Fryer,Home & Kitchen,1,191.91,191.91,49.57
87,2022-12-24,131,Blender,Home & Kitchen,5,65.47,327.35,87.68
88,2023-09-21,295,Microwave,Home & Kitchen,3,31.92,95.76,15.19
89,2023-04-03,435,Treadmill,Sports,4,199.19,796.76,168.88
90,2023-11-13,864,Jeans,Clothing,2,76.0,152.0,42.19
91,2022-06-02,392,Air Fryer,Home & Kitchen,3,181.61,544.83,156.69
92,2024-01-18,3935,Microwave,Home & Kitchen,1,147.48,147.48,37.88
93,2022-12-10,954,Air Fryer,Home & Kitchen,2,169.3,338.6,83.34
94,2022-08-05,766,Treadmill,Sports,3,180.86,542.58,141.0
95,2024-01-31,3053,Treadmill,Sports,2,144.05,288.1,46.79
96,2022-01-11,1618,Jeans,Clothing,1,133.26,133.26,25.86
97,2022-05-16,3773,T-Shirt,Clothing,1,103.88,103.88,12.01
98,2023-02-06,2762,Smartwatch,Electronics,1,45.53,45.53,10.69
99,2023-10-05,2784,Makeup Kit,Beauty,5,74.41,372.05,52.29
100,2023-07-18,4864,Hair Dryer,Beauty,5,174.31,871.55,134.01
101,2022-02-22,1782,Dumbbells,Sports,5,198.75,993.75,209.67
102,2023-11-18,909,T-Shirt,Clothing,1,27.77,27.77,8.21
103,2023-04-29,4944,Treadmill,Sports,5,38.28,191.4,46.26
104,2023-05-15,1005,Air Fryer,Home & Kitchen,3,11.05,33.15,5.19
105,2022-10-25,1497,Air Fryer,Home & Kitchen,3,129.97,389.91,77.81
106,2022-04-16,2316,Blender,Home & Kitchen,1,193.55,193.55,55.01
107,2022-07-07,1431,Tennis Racket,Sports,1,117.62,117.62,34.52
108,2022-12-26,4416,Jacket,Clothing,5,109.17,545.85,145.14
109,2023-06-08,1640,Dress,Clothing,4,14.24,56.96,12.45
110,2023-07-23,3808,Cycling Helmet,Sports,2,174.94,349.88,78.95
111,2022-04-16,2867,Vacuum Cleaner,Home & Kitchen,5,80.35,401.75,104.0
112,2022-10-15,949,Dumbbells,Sports,4,33.42,133.68,37.15
113,2023-12-11,2068,Skincare Set,Beauty,3,87.79,263.37,42.77
114,2023-03-22,3012,Shampoo,Beauty,1,151.54,151.54,21.31
115,2023-01-31,4278,Skincare Set,Beauty,3,185.7,557.1,137.48
116,2023-04-22,3500,Jacket,Clothing,3,47.63,142.89,22.76
117,2023-05-11,2576,Makeup Kit,Beauty,2,139.48,278.96,36.66
118,2022-06-11,848,Dress,Clothing,2,107.52,215.04,24.57
119,2023-06-07,3501,Skincare Set,Beauty,5,82.71,413.55,81.48
120,2023-10-10,235,Makeup Kit,Beauty,2,57.64,115.28,32.82
121,2022-03-29,2489,Blender,Home & Kitchen,5,99.21,496.05,104.53
122,2022-01-14,346,Cookware Set,Home & Kitchen,5,93.66,468.3,98.83
123,2022-11-10,718,Smartphone,Electronics,5,62.25,311.25,35.34
124,2022-02-20,4025,Skincare Set,Beauty,4,167.68,670.72,122.79
125,2022-04-23,1463,Perfume,Beauty,1,97.41,97.41,19.6
126,2022-09-25,3990,Air Fryer,Home & Kitchen,3,14.26,42.78,4.75
127,2023-08-30,1430,Vacuum Cleaner,Home & Kitchen,3,28.66,85.98,10.47
128,2023-11-30,713,Jeans,Clothing,2,152.73,305.46,64.76
129,2022-09-29,3776,Blender,Home & Kitchen,3,141.03,423.09,83.06
130,2023-04-09,4733,Cycling Helmet,Sports,4,34.8,139.2,17.48
131,2022-11-11,3664,Dumbbells,Sports,3,77.74,233.22,55.42
132,2022-08-20,147,Headphones,Electronics,2,135.22,270.44,62.47
133,2023-11-23,448,Cycling Helmet,Sports,5,29.42,147.1,27.83
134,2022-05-20,1232,Skincare Set,Beauty,2,128.36,256.72,72.51
135,2023-12-23,3188,Laptop,Electronics,4,58.98,235.92,69.77
136,2023-03-11,837,Treadmill,Sports,2,11.64,23.28,5.31
137,2023-05-23,4351,Jacket,Clothing,2,112.23,224.46,65.7
138,2023-01-25,982,Vacuum Cleaner,Home & Kitchen,2,155.57,311.14,35.09
139,2022-08-26,4087,Makeup Kit,Beauty,4,19.23,76.92,22.0
140,2022-06-21,3144,Tennis Racket,Sports,4,194.77,779.08,198.49
141,2023-01-11,2289,Laptop,Electronics,2,193.88,387.76,58.42
